"ENSMUSG00000090025.1"	"Gm16088"
"ENSMUSG00000064842.1"	"U6"
"ENSMUSG00000051951.5"	"Xkr4"
"ENSMUSG00000089699.1"	"Gm1992"
"ENSMUSG00000088390.1"	"U7"
"ENSMUSG00000089420.1"	"U7"
"ENSMUSG00000025900.4"	"Rp1"
"ENSMUSG00000025902.7"	"Sox17"
"ENSMUSG00000064376.1"	"U6"
"ENSMUSG00000088000.1"	"U6"
"ENSMUSG00000033845.7"	"Mrpl15"
"ENSMUSG00000025903.8"	"Lypla1"
"ENSMUSG00000033813.8"	"Tcea1"
"ENSMUSG00000062588.3"	"Gm6104"
"ENSMUSG00000002459.10"	"Rgs20"
"ENSMUSG00000091305.1"	"Gm17100"
"ENSMUSG00000085623.1"	"Gm16041"
"ENSMUSG00000091665.1"	"Gm17101"
"ENSMUSG00000033793.7"	"Atp6v1h"
"ENSMUSG00000025905.7"	"Oprk1"
"ENSMUSG00000093015.1"	"AC103663.1"
"ENSMUSG00000033774.4"	"Npbwr1"
"ENSMUSG00000025907.7"	"Rb1cc1"
"ENSMUSG00000090031.1"	"4732440D04Rik"
"ENSMUSG00000073741.1"	"4732440D04Rik"
"ENSMUSG00000087247.1"	"Fam150a"
"ENSMUSG00000033740.10"	"St18"
"ENSMUSG00000051285.9"	"Pcmtd1"
"ENSMUSG00000048538.7"	"Gm9826"
"ENSMUSG00000077244.1"	"SNORA17"
"ENSMUSG00000086461.2"	"Gm16899"
"ENSMUSG00000025909.9"	"Sntg1"
"ENSMUSG00000086235.1"	"Gm16284"
"ENSMUSG00000076169.1"	"AC102703.1"
"ENSMUSG00000084353.1"	"Gm15452"
"ENSMUSG00000076135.1"	"AC163389.1"
"ENSMUSG00000086195.1"	"Gm6152"
"ENSMUSG00000066693.2"	"Gm7493"
"ENSMUSG00000065625.1"	"U6"
"ENSMUSG00000061024.7"	"Rrs1"
"ENSMUSG00000025911.8"	"Adhfe1"
"ENSMUSG00000079671.2"	"2610203C22Rik"
"ENSMUSG00000081441.2"	"Gm6161"
"ENSMUSG00000067879.3"	"3110035E14Rik"
"ENSMUSG00000025912.9"	"Mybl1"
"ENSMUSG00000045210.8"	"Vcpip1"
"ENSMUSG00000085661.1"	"1700034P13Rik"
"ENSMUSG00000025915.7"	"Sgk3"
"ENSMUSG00000046334.3"	"Gm6195"
"ENSMUSG00000088916.1"	"U6"
"ENSMUSG00000046101.9"	"6030422M02Rik"
"ENSMUSG00000093178.1"	"AC102570.1"
"ENSMUSG00000073738.2"	"Gm10567"
"ENSMUSG00000025916.3"	"Lrrc67"
"ENSMUSG00000087199.1"	"Gm15818"
"ENSMUSG00000065085.1"	"U6"
"ENSMUSG00000025917.3"	"Cops5"
"ENSMUSG00000056763.9"	"Cspp1"
"ENSMUSG00000067851.5"	"Arfgef1"
"ENSMUSG00000088153.1"	"7SK"
"ENSMUSG00000042501.6"	"Cpa6"
"ENSMUSG00000083422.1"	"Gm15604"
"ENSMUSG00000065035.1"	"U6"
"ENSMUSG00000081417.1"	"Gm15603"
"ENSMUSG00000088585.1"	"SNORA66"
"ENSMUSG00000048960.7"	"Prex2"
"ENSMUSG00000077318.1"	"SNORA40"
"ENSMUSG00000057715.6"	"A830018L16Rik"
"ENSMUSG00000064969.1"	"U6"
"ENSMUSG00000066918.5"	"Gm17644"
"ENSMUSG00000016918.8"	"Sulf1"
"ENSMUSG00000025938.9"	"Slco5a1"
"ENSMUSG00000042414.7"	"Prdm14"
"ENSMUSG00000005886.8"	"Ncoa2"
"ENSMUSG00000087782.1"	"U6"
"ENSMUSG00000025935.4"	"Tram1"
"ENSMUSG00000025937.5"	"Lactb2"
"ENSMUSG00000067813.3"	"Xkr9"
"ENSMUSG00000077368.1"	"SNORA17"
"ENSMUSG00000089358.1"	"7SK"
"ENSMUSG00000025932.7"	"Eya1"
"ENSMUSG00000093057.1"	"AC156988.1"
"ENSMUSG00000025930.5"	"Msc"
"ENSMUSG00000054493.1"	"Gm9947"
"ENSMUSG00000081201.1"	"Smt3h2-ps4"
"ENSMUSG00000082193.1"	"Rpl5-ps1"
"ENSMUSG00000032769.4"	"Trpa1"
"ENSMUSG00000088159.1"	"SNORA17"
"ENSMUSG00000073737.2"	"Gm10566"
"ENSMUSG00000092083.1"	"Kcnb2"
"ENSMUSG00000088829.1"	"SNORA17"
"ENSMUSG00000090498.1"	"Kcnb2"
"ENSMUSG00000077377.1"	"SNORA17"
"ENSMUSG00000025925.7"	"Terf1"
"ENSMUSG00000032719.4"	"Gm106"
"ENSMUSG00000088943.1"	"7SK"
"ENSMUSG00000067795.5"	"4930444P10Rik"
"ENSMUSG00000043716.7"	"Rpl7"
"ENSMUSG00000025921.7"	"Rdh10"
"ENSMUSG00000025920.12"	"Stau2"
"ENSMUSG00000089982.1"	"Gm7568"
"ENSMUSG00000025939.10"	"Ube2w"
"ENSMUSG00000079658.3"	"Tceb1"
"ENSMUSG00000087414.1"	"Gm16720"
"ENSMUSG00000025940.5"	"Tmem70"
"ENSMUSG00000025779.4"	"Ly96"
"ENSMUSG00000091020.1"	"Gm5828"
"ENSMUSG00000042686.3"	"Jph1"
"ENSMUSG00000025777.7"	"Gdap1"
"ENSMUSG00000089534.1"	"SNORA17"
"ENSMUSG00000067780.2"	"Pi15"
"ENSMUSG00000085125.1"	"Gm16070"
"ENSMUSG00000025776.7"	"Crispld1"
"ENSMUSG00000025774.8"	"Crisp4"
"ENSMUSG00000070977.4"	"Defb44-ps"
"ENSMUSG00000073735.1"	"Defb18"
"ENSMUSG00000067773.5"	"Defb41"
"ENSMUSG00000089923.1"	"Gm15386"
"ENSMUSG00000088800.1"	"SNORA17"
"ENSMUSG00000089787.1"	"Gm15825"
"ENSMUSG00000042596.7"	"Tcfap2d"
"ENSMUSG00000060128.3"	"Gm10075"
"ENSMUSG00000025927.6"	"Tcfap2b"
"ENSMUSG00000084668.1"	"SNORD29"
"ENSMUSG00000080585.1"	"AC163028.1"
"ENSMUSG00000043760.9"	"Pkhd1"
"ENSMUSG00000089914.1"	"4930486I03Rik"
"ENSMUSG00000090142.1"	"Gm15795"
"ENSMUSG00000070175.1"	"U6"
"ENSMUSG00000065559.1"	"Mir206"
"ENSMUSG00000065480.1"	"Mir133b"
"ENSMUSG00000025929.4"	"Il17a"
"ENSMUSG00000041872.3"	"Il17f"
"ENSMUSG00000041859.9"	"Mcm3"
"ENSMUSG00000088858.1"	"SNORA17"
"ENSMUSG00000087078.1"	"6720483E21Rik"
"ENSMUSG00000025931.8"	"Paqr8"
"ENSMUSG00000077314.1"	"SNORA17"
"ENSMUSG00000041809.4"	"Efhc1"
"ENSMUSG00000041779.4"	"Tram2"
"ENSMUSG00000025933.8"	"Tmem14a"
"ENSMUSG00000025934.9"	"Gsta3"
"ENSMUSG00000046847.5"	"Gm7094"
"ENSMUSG00000025936.8"	"Gm4956"
"ENSMUSG00000067750.3"	"Khdc1a"
"ENSMUSG00000086194.1"	"Gm16329"
"ENSMUSG00000087453.1"	"Gm16327"
"ENSMUSG00000041722.7"	"Khdc1c"
"ENSMUSG00000085507.1"	"Gm2709"
"ENSMUSG00000087427.1"	"Gm16533"
"ENSMUSG00000085079.2"	"Khdc1b"
"ENSMUSG00000085679.2"	"Gm16328"
"ENSMUSG00000028033.9"	"Kcnq5"
"ENSMUSG00000082935.1"	"Gm7658"
"ENSMUSG00000085163.1"	"Gm16705"
"ENSMUSG00000041670.8"	"Rims1"
"ENSMUSG00000073730.2"	"4933415F23Rik"
"ENSMUSG00000089553.1"	"SNORA17"
"ENSMUSG00000073729.1"	"Gm6420"
"ENSMUSG00000065405.1"	"Mir30a"
"ENSMUSG00000065567.1"	"Mir30c-2"
"ENSMUSG00000026158.5"	"Ogfrl1"
"ENSMUSG00000026156.8"	"B3gat2"
"ENSMUSG00000026155.7"	"Smap1"
"ENSMUSG00000026154.3"	"1110058L19Rik"
"ENSMUSG00000026153.8"	"Fam135a"
"ENSMUSG00000026147.9"	"Col9a1"
"ENSMUSG00000026141.7"	"Col19a1"
"ENSMUSG00000077463.1"	"SNORA64"
"ENSMUSG00000067736.1"	"Gm10222"
"ENSMUSG00000090378.1"	"Gm10925"
"ENSMUSG00000073725.2"	"Lmbrd1"
"ENSMUSG00000033569.10"	"Bai3"
"ENSMUSG00000080849.1"	"Gm15702"
"ENSMUSG00000064910.1"	"U6"
"ENSMUSG00000084740.1"	"U6"
"ENSMUSG00000052558.1"	"Gm9884"
"ENSMUSG00000088111.1"	"SNORA17"
"ENSMUSG00000073722.2"	"4931408C20Rik"
"ENSMUSG00000065125.1"	"n-R5s209"
"ENSMUSG00000079640.1"	"Gm11161"
"ENSMUSG00000084715.1"	"AC153790.1"
"ENSMUSG00000086240.2"	"Gm7846"
"ENSMUSG00000048411.3"	"Gm597"
"ENSMUSG00000081557.1"	"Gm5697"
"ENSMUSG00000090766.1"	"Gm17684"
"ENSMUSG00000058590.1"	"Gm6462"
"ENSMUSG00000064433.1"	"Y_RNA"
"ENSMUSG00000080625.1"	"AC163659.2"
"ENSMUSG00000080391.1"	"AC163659.1"
"ENSMUSG00000077073.1"	"AC126798.1"
"ENSMUSG00000053185.1"	"Gm9898"
"ENSMUSG00000048874.8"	"Phf3"
"ENSMUSG00000026064.8"	"Ptp4a1"
"ENSMUSG00000086151.1"	"Gm5698"
"ENSMUSG00000086726.1"	"Gm9458"
"ENSMUSG00000087346.1"	"Gm5699"
"ENSMUSG00000086727.1"	"4931428L18Rik"
"ENSMUSG00000050217.7"	"Lgsn"
"ENSMUSG00000026063.3"	"4930521A18Rik"
"ENSMUSG00000077664.1"	"SNORA17"
"ENSMUSG00000070960.2"	"Gm10307"
"ENSMUSG00000088620.1"	"U6"
"ENSMUSG00000082159.1"	"Gm7910"
"ENSMUSG00000026058.5"	"Khdrbs2"
"ENSMUSG00000064688.1"	"U6"
"ENSMUSG00000049830.2"	"Gm9839"
"ENSMUSG00000091318.1"	"Gm5415"
"ENSMUSG00000089489.1"	"U7"
"ENSMUSG00000089395.1"	"7SK"
"ENSMUSG00000088750.1"	"U6"
"ENSMUSG00000065223.1"	"U6"
"ENSMUSG00000065260.1"	"U6"
"ENSMUSG00000026134.9"	"Prim2"
"ENSMUSG00000044744.5"	"1700001G17Rik"
"ENSMUSG00000004768.8"	"Rab23"
"ENSMUSG00000042215.7"	"Bag2"
"ENSMUSG00000042197.7"	"Zfp451"
"ENSMUSG00000081402.2"	"Gm15455"
"ENSMUSG00000042182.9"	"Bend6"
"ENSMUSG00000026131.9"	"Dst"
"ENSMUSG00000084506.1"	"U6"
"ENSMUSG00000085306.1"	"Gm16750"
"ENSMUSG00000079617.1"	"Gm11158"
"ENSMUSG00000092852.1"	"AC106841.1"
"ENSMUSG00000042111.8"	"Ccdc115"
"ENSMUSG00000026127.7"	"Imp4"
"ENSMUSG00000026126.8"	"Ptpn18"
"ENSMUSG00000026125.3"	"Prss39"
"ENSMUSG00000026124.3"	"Cfc1"
"ENSMUSG00000037529.7"	"Prss40"
"ENSMUSG00000045815.3"	"1700101I19Rik"
"ENSMUSG00000045174.8"	"Fam123c"
"ENSMUSG00000089955.1"	"C230030N03Rik"
"ENSMUSG00000037509.10"	"Arhgef4"
"ENSMUSG00000046858.6"	"C230030N03Rik"
"ENSMUSG00000037503.6"	"Fam168b"
"ENSMUSG00000026123.4"	"Plekhb2"
"ENSMUSG00000077231.1"	"SNORA17"
"ENSMUSG00000064601.1"	"U6"
"ENSMUSG00000045216.6"	"Hs6st1"
"ENSMUSG00000037470.8"	"Uggt1"
"ENSMUSG00000047180.6"	"Neurl3"
"ENSMUSG00000037447.9"	"Arid5a"
"ENSMUSG00000010453.5"	"4632411B12Rik"
"ENSMUSG00000037432.9"	"Fer1l5"
"ENSMUSG00000001143.7"	"Lman2l"
"ENSMUSG00000037408.8"	"Cnnm4"
"ENSMUSG00000001138.7"	"Cnnm3"
"ENSMUSG00000067653.5"	"Ankrd23"
"ENSMUSG00000079610.3"	"Ankrd39"
"ENSMUSG00000026121.7"	"Sema4c"
"ENSMUSG00000087589.2"	"D430040D24Rik"
"ENSMUSG00000046337.10"	"Fam178b"
"ENSMUSG00000089906.1"	"Gm6428"
"ENSMUSG00000077939.1"	"AC084389.1"
"ENSMUSG00000061518.4"	"Cox5b"
"ENSMUSG00000037351.3"	"Actr1b"
"ENSMUSG00000026117.7"	"Zap70"
"ENSMUSG00000026116.5"	"Tmem131"
"ENSMUSG00000080054.2"	"Rpl12-ps1"
"ENSMUSG00000070201.1"	"n-R5s210"
"ENSMUSG00000050122.12"	"Vwa3b"
"ENSMUSG00000026115.8"	"Vwa3b"
"ENSMUSG00000026114.8"	"Cnga3"
"ENSMUSG00000026113.10"	"Inpp4a"
"ENSMUSG00000086064.1"	"4930439A04Rik"
"ENSMUSG00000026112.6"	"6330578E17Rik"
"ENSMUSG00000026111.9"	"Unc50"
"ENSMUSG00000026110.9"	"Mgat4a"
"ENSMUSG00000087233.1"	"4930594C11Rik"
"ENSMUSG00000026090.9"	"2010300C02Rik"
"ENSMUSG00000089767.1"	"4930556I23Rik"
"ENSMUSG00000060771.7"	"Tsga10"
"ENSMUSG00000092106.1"	"Gm17715"
"ENSMUSG00000037216.4"	"Lipt1"
"ENSMUSG00000026088.9"	"Mitd1"
"ENSMUSG00000026087.5"	"Mrpl30"
"ENSMUSG00000061584.5"	"Lyg2"
"ENSMUSG00000087374.1"	"Gm15457"
"ENSMUSG00000026085.5"	"Lyg1"
"ENSMUSG00000089141.1"	"7SK"
"ENSMUSG00000058407.6"	"Txndc9"
"ENSMUSG00000026083.7"	"Eif5b"
"ENSMUSG00000026082.6"	"Rev1"
"ENSMUSG00000037138.9"	"Aff3"
"ENSMUSG00000085391.1"	"Gm16150"
"ENSMUSG00000085280.1"	"Gm16151"
"ENSMUSG00000087131.1"	"Gm16152"
"ENSMUSG00000048814.4"	"Lonrf2"
"ENSMUSG00000026080.7"	"Chst10"
"ENSMUSG00000067604.2"	"Nms"
"ENSMUSG00000026078.5"	"Pdcl3"
"ENSMUSG00000026077.9"	"Npas2"
"ENSMUSG00000092553.1"	"RP24-180L10.1"
"ENSMUSG00000092563.1"	"RP24-539E18.2"
"ENSMUSG00000073702.4"	"Rpl31"
"ENSMUSG00000003134.5"	"Tbc1d8"
"ENSMUSG00000065629.1"	"U3"
"ENSMUSG00000003135.9"	"D1Bwg0212e"
"ENSMUSG00000085894.1"	"Gm15832"
"ENSMUSG00000077704.1"	"Snord89"
"ENSMUSG00000048234.8"	"Rnf149"
"ENSMUSG00000064936.1"	"SNORA33"
"ENSMUSG00000050967.4"	"Creg2"
"ENSMUSG00000090677.1"	"D930019O06Rik"
"ENSMUSG00000057173.7"	"Rfx8"
"ENSMUSG00000091937.1"	"Gm3646"
"ENSMUSG00000026074.7"	"Map4k4"
"ENSMUSG00000086705.1"	"Gm16894"
"ENSMUSG00000026073.7"	"Il1r2"
"ENSMUSG00000026072.6"	"Il1r1"
"ENSMUSG00000070942.3"	"Il1rl2"
"ENSMUSG00000026069.9"	"Il1rl1"
"ENSMUSG00000026070.8"	"Il18r1"
"ENSMUSG00000026068.5"	"Il18rap"
"ENSMUSG00000026065.7"	"Slc9a4"
"ENSMUSG00000088965.1"	"snoU13"
"ENSMUSG00000026062.7"	"Slc9a2"
"ENSMUSG00000041945.6"	"Mfsd9"
"ENSMUSG00000079588.1"	"Tmem182"
"ENSMUSG00000053640.1"	"Gm9915"
"ENSMUSG00000060424.6"	"2610017I09Rik"
"ENSMUSG00000045515.2"	"Pou3f3"
"ENSMUSG00000060679.7"	"Mrps9"
"ENSMUSG00000077448.1"	"SNORA17"
"ENSMUSG00000079587.1"	"Gpr45"
"ENSMUSG00000041907.7"	"Gpr45"
"ENSMUSG00000089088.1"	"AC112941.1"
"ENSMUSG00000070939.2"	"Tgfbrap1"
"ENSMUSG00000041878.3"	"8430432A02Rik"
"ENSMUSG00000010290.7"	"AI597479"
"ENSMUSG00000008136.8"	"Fhl2"
"ENSMUSG00000067579.6"	"Gm8210"
"ENSMUSG00000066877.5"	"Nck2"
"ENSMUSG00000026051.8"	"1500015O10Rik"
"ENSMUSG00000057363.6"	"Uxs1"
"ENSMUSG00000090243.1"	"Gm16103"
"ENSMUSG00000088848.1"	"SNORA17"
"ENSMUSG00000077132.1"	"AC125134.1"
"ENSMUSG00000041763.7"	"Tpp2"
"ENSMUSG00000047343.4"	"A530098C11Rik"
"ENSMUSG00000090106.1"	"Gm15838"
"ENSMUSG00000091844.1"	"Gm8251"
"ENSMUSG00000026049.5"	"1700029F09Rik"
"ENSMUSG00000026047.7"	"Kdelc1"
"ENSMUSG00000041684.5"	"Bivm"
"ENSMUSG00000026048.9"	"Ercc5"
"ENSMUSG00000046828.3"	"4832428D23Rik"
"ENSMUSG00000089703.1"	"Gm15833"
"ENSMUSG00000078019.1"	"AC124406.1"
"ENSMUSG00000056870.3"	"Gulp1"
"ENSMUSG00000089877.1"	"Gm16102"
"ENSMUSG00000026043.11"	"Col3a1"
"ENSMUSG00000026042.9"	"Col5a2"
"ENSMUSG00000065010.1"	"U6"
"ENSMUSG00000065255.1"	"SNORA55"
"ENSMUSG00000087764.1"	"RNaseP_nuc"
"ENSMUSG00000025995.9"	"Wdr75"
"ENSMUSG00000084817.2"	"Gm5526"
"ENSMUSG00000091090.1"	"Gm5269"
"ENSMUSG00000025993.4"	"Slc40a1"
"ENSMUSG00000070896.1"	"Rpl23a-ps1"
"ENSMUSG00000090682.1"	"Gm3852"
"ENSMUSG00000044457.2"	"Gm4776"
"ENSMUSG00000041144.8"	"Dnahc7b"
"ENSMUSG00000070199.1"	"n-R5s211"
"ENSMUSG00000078595.2"	"Dnahc7c"
"ENSMUSG00000025986.5"	"Slc39a10"
"ENSMUSG00000081185.1"	"Gm4852"
