"ENSDARG00000088691"	"BX511027.1"
"ENSDARG00000096571"	"si:ch211-281p14.2"
"ENSDARG00000090143"	"CABZ01074659.1"
"ENSDARG00000063606"	"NRXN2
"ENSDARG00000063150"	"nrxn2b"
"ENSDARG00000084364"	"5S_rRNA"
"ENSDARG00000021907"	"rela"
"ENSDARG00000019406"	"C7H11orf68"
"ENSDARG00000041203"	"drap1"
"ENSDARG00000091521"	"MAP3K11"
"ENSDARG00000090525"	"CABZ01109105.1"
"ENSDARG00000067794"	"CABZ01076234.1"
"ENSDARG00000087865"	"5S_rRNA"
"ENSDARG00000093039"	"CABZ01073115.1"
"ENSDARG00000087215"	"CABZ01085394.1"
"ENSDARG00000091715"	"si:dkey-162h11.2"
"ENSDARG00000088432"	"si:dkey-162h11.3"
"ENSDARG00000096633"	"si:dkey-162h11.4"
"ENSDARG00000076386"	"epdl1"
"ENSDARG00000019743"	"dctn1a"
"ENSDARG00000059741"	"ALPK1"
"ENSDARG00000088824"	"CT030017.2"
"ENSDARG00000088919"	"BX664707.2"
"ENSDARG00000090749"	"BX664707.3"
"ENSDARG00000063376"	"BX664707.1"
"ENSDARG00000090965"	"ripk3l"
"ENSDARG00000087748"	"ADCY5
"ENSDARG00000073795"	"CABZ01111926.1"
"ENSDARG00000089426"	"nop10"
"ENSDARG00000068386"	"CABZ01101003.1"
"ENSDARG00000087482"	"SLC12A6
"ENSDARG00000078892"	"SLC12A6
"ENSDARG00000039268"	"emc4"
"ENSDARG00000035028"	"lpcat4"
"ENSDARG00000079949"	"supt16h"
"ENSDARG00000084871"	"5S_rRNA"
"ENSDARG00000070207"	"BX530070.1"
"ENSDARG00000070208"	"BX530070.2"
"ENSDARG00000089014"	"5S_rRNA"
"ENSDARG00000059103"	"CT573787.1"
"ENSDARG00000081256"	"5S_rRNA"
"ENSDARG00000091546"	"5S_rRNA"
"ENSDARG00000078137"	"BX004857.3"
"ENSDARG00000039896"	"BX004857.1"
"ENSDARG00000039895"	"zgc:158621"
"ENSDARG00000067588"	"BX004857.2"
"ENSDARG00000025871"	"BX322792.1"
"ENSDARG00000091695"	"si:ch211-261i17.1"
"ENSDARG00000093474"	"BX322792.2"
"ENSDARG00000058829"	"zgc:171424"
"ENSDARG00000090813"	"5S_rRNA"
"ENSDARG00000088655"	"CABZ01007794.1"
"ENSDARG00000068030"	"APOLD1
"ENSDARG00000089961"	"APOLD1
"ENSDARG00000087424"	"si:dkey-187j14.6"
"ENSDARG00000053761"	"si:dkey-187j14.4"
"ENSDARG00000078093"	"zgc:172065"
"ENSDARG00000076146"	"zgc:172075"
"ENSDARG00000090415"	"BX897747.3"
"ENSDARG00000087289"	"zgc:66473"
"ENSDARG00000091721"	"BX897747.1"
"ENSDARG00000097745"	"si:dkey-187j14.2"
"ENSDARG00000087375"	"zgc:66473"
"ENSDARG00000041333"	"BX323987.1"
"ENSDARG00000097459"	"si:dkey-125e8.3"
"ENSDARG00000076286"	"si:dkey-125e8.1"
"ENSDARG00000086867"	"CU929449.2"
"ENSDARG00000039888"	"CU929449.1"
"ENSDARG00000076398"	"si:dkey-201l21.4"
"ENSDARG00000092908"	"si:dkey-201l21.1"
"ENSDARG00000070872"	"CR855393.1"
"ENSDARG00000086565"	"si:dkey-201l21.2"
"ENSDARG00000094270"	"RBM24
"ENSDARG00000095410"	"si:ch211-285c6.4"
"ENSDARG00000076257"	"si:ch211-285c6.1"
"ENSDARG00000079234"	"si:ch211-285c6.2"
"ENSDARG00000026505"	"si:ch211-285c6.3"
"ENSDARG00000094779"	"si:dkey-192d15.1"
"ENSDARG00000043770"	"si:dkey-192d15.2"
"ENSDARG00000088682"	"si:dkey-192d15.3"
"ENSDARG00000043769"	"si:ch211-282j17.1"
"ENSDARG00000043768"	"si:ch211-282j17.2"
"ENSDARG00000043767"	"si:ch211-282j17.3"
"ENSDARG00000094383"	"CR392330.2"
"ENSDARG00000086282"	"si:ch211-282j17.5"
"ENSDARG00000087872"	"CR392330.1"
"ENSDARG00000093391"	"si:ch211-282j17.7"
"ENSDARG00000043736"	"si:ch211-282j17.8"
"ENSDARG00000070850"	"si:ch211-282j17.10"
"ENSDARG00000042752"	"si:ch211-282j17.11"
"ENSDARG00000025505"	"si:ch73-335d12.2"
"ENSDARG00000070852"	"zgc:195077"
"ENSDARG00000089958"	"si:dkey-88n24.9"
"ENSDARG00000091095"	"si:dkey-88n24.8"
"ENSDARG00000034330"	"si:dkey-88n24.7"
"ENSDARG00000070851"	"si:dkey-88n24.6"
"ENSDARG00000043735"	"si:dkey-88n24.5"
"ENSDARG00000095326"	"si:dkey-88n24.3"
"ENSDARG00000086419"	"BX284672.2"
"ENSDARG00000093595"	"si:dkey-88n24.10"
"ENSDARG00000079924"	"BX284672.1"
"ENSDARG00000011170"	"ndrg2"
"ENSDARG00000085711"	"5S_rRNA"
"ENSDARG00000022579"	"zgc:55733"
"ENSDARG00000042178"	"CABZ01079166.1"
"ENSDARG00000090645"	"CT027762.5"
"ENSDARG00000086443"	"5S_rRNA"
"ENSDARG00000041159"	"CT027762.1"
"ENSDARG00000055567"	"CT027762.3"
"ENSDARG00000086654"	"CT027762.3"
"ENSDARG00000071173"	"slc12a10.2"
"ENSDARG00000097682"	"si:dkey-114c3.4"
"ENSDARG00000055253"	"slc12a10.3"
"ENSDARG00000055313"	"slc12a10.1"
"ENSDARG00000093836"	"CCIN"
"ENSDARG00000091495"	"si:dkey-83f18.11"
"ENSDARG00000078012"	"zgc:162060"
"ENSDARG00000086460"	"si:dkey-83f18.10"
"ENSDARG00000086358"	"si:dkey-83f18.9"
"ENSDARG00000088818"	"si:dkey-83f18.8"
"ENSDARG00000088252"	"si:dkey-83f18.7"
"ENSDARG00000093312"	"si:dkey-83f18.4"
"ENSDARG00000093909"	"si:dkey-83f18.15"
"ENSDARG00000094716"	"si:dkey-83f18.6"
"ENSDARG00000089067"	"si:dkey-83f18.5"
"ENSDARG00000075003"	"si:dkey-83f18.3"
"ENSDARG00000055346"	"si:dkey-83f18.2"
"ENSDARG00000075036"	"si:ch211-225k7.6"
"ENSDARG00000089258"	"si:ch211-225k7.2"
"ENSDARG00000095250"	"si:ch211-225k7.3"
"ENSDARG00000075634"	"si:ch211-225k7.4"
"ENSDARG00000078821"	"si:ch211-225k7.5"
"ENSDARG00000095757"	"si:dkey-28d5.1"
"ENSDARG00000092384"	"si:dkey-28d5.3"
"ENSDARG00000093673"	"si:dkey-28d5.4"
